Year,Type of Crime,Mean Months,Median Months,N
2014,Manslaughter,54,37,49
2014,Kidnapping/Hostage Taking,201,168,50
2014,Sexual Abuse,134,120,545
2014,Assault,31,18,115
2014,Robbery,8,60,782
2014,Arson,62,49,54
2014,Drugs - Communication Fac,31,24,344
2014,Auto Theft,61,42,86
2014,Embezzlement,10,6,334
2014,Forgery/Counterfeiting,18,12,113
2014,Tax,13,9,649
2014,Money Laundering,32,18,886
2014,Racketeering/Extortion,88,58,864
2014,Gambling/Lottery,5,3,117
2014,il Rights,36,18,58
2014,Prison Offenses,15,12,448
2014,Environmental/Wildlife,4,0,202
2014,National Defense,45,35,108
2014,Antitrust,22,16,19
2014,Food & Drug,8,0,114
