Year,Type of Crime,Mean Months,Median Months,N
2023,Administration of Justice,16,10,647
2023,Antitrust,6,6,18
2023,Arson,58,57,106
2023,Assault,71,47,852
2023,Bribery/Corruption,21,14,366
2023,Burglary/Trespass,16,8,85
2023,Commercialized Vice,21,12,84
2023,Drug Possession,2,0,139
2023,Environmental,3,0,160
2023,Extortion/Racketeering,32,24,130
2023,Food and Drug,10,0,55
2023,Forgery/Counter/Copyright,18,12,112
2023,Individual Rights,55,15,113
2023,Kidnapping,199,168,151
2023,Manslaughter,5,69,86
2023,Murder,285,276,489
2023,National Defense,38,24,237
2023,Obscenity/Other Sex Offenses,23,18,326
2023,Prison Offenses,14,12,455
2023,Stalking/Harassing,29,20,240
2023,Tax,15,12,446
2023,Other,4,0,939
