Year,Type of Crime,Mean Months,Median Months,N
2016,Murder,241,210,85
2016,Manslaughter,69,60,87
2016,Kidnapping/Hostage Taking,239,213,39
2016,Sexual Abuse,144,120,620
2016,Assault,29,16,808
2016,Robbery,73,60,702
2016,Arson,65,60,46
2016,Burglary/B&E,12,10,23
2016,Auto Theft o,4,46,45
2016,Fraud,25,13,6517
2016,Embezzlement,8,0,321
2016,Forgery/Counter!,18,12,450
2016,Bribery,22,12,197
2016,Tax,13,10,523
2016,Money Laundering,30,18,724
2016,Racketeering/Extortion,85,87,14
2016,Gambling/Lottery,5,0,74
2016,Prison Offenses,13,10,415
2016,Environmental/Wildlife,3,0,156
2016,National Defense,55,33,100
