TYPE OF CRIME,N,%
TOTAL,61678,100
Administration of Justice,660,1.1
Antitrust,8,0
Arson,84,0.1
Assault,901,1.5
Bribery/Corruption,362,0.6
Burglary/Trespass,99,0.2
Child Pornography,1375,2.2
Commercialized Vice,72,0.1
Drug Possession,109,0.2
Drug Trafficking,18172,29.5
Environmental,140,0.2
Extortion/Racketeering,112,0.2
Firearms,8131,13.2
Food and Drug,35,0.1
Forgery/Counter/Copyright,95,0.2
Fraud/Theft/Embezzlement,5312,8.6
Immigration,18492,30
Individual Rights,125,0.2
Kidnapping,147,0.2
Manslaughter,111,0.2
Money Laundering,1289,2.1
Murder,523,0.8
National Defense,229,0.4
Obscenity/Other Sex Offenses,339,0.5
Prison Offenses,438,0.7
Robbery,1323,2.1
Sexual Abuse,1430,2.3
Stalking/Harassing,254,0.4
Tax,440,0.7
Other,871,1.4
