YEARS,OFFGUIDE,SENTTCAP,LOSS1,NEWEDUC
3,10,26.46,NA,3
4,17,2.92,NA,NA
5,17,60.03,NA,1
4,10,97,NA,3
7,10,105,NA,5
4,10,270,NA,1
6,13,24,NA,1
3,17,7,NA,1
4,10,72,NA,1
7,10,57,NA,3
5,13,24,NA,1
5,17,2.92,NA,1
3,13,60,NA,3
6,17,6.21,NA,1
1,13,24,NA,1
4,10,41,NA,1
4,17,0.03,NA,1
6,10,70,NA,1
3,7,72,NA,3
4,16,48,9999999997,5
5,17,12.03,NA,1
3,17,5.22,NA,1
3,17,8,NA,1
2,13,37,NA,1
3,10,36,NA,1
7,17,37,NA,1
5,10,120,NA,1
4,10,45.16,NA,3
4,13,50,NA,3
3,13,48,NA,3
3,7,120,NA,1
4,10,70,NA,3
3,10,38,NA,1
5,10,264,NA,1
3,10,120,NA,3
2,16,0.03,9999999997,1
7,10,24,NA,3
3,17,10,NA,1
5,27,60,NA,6
3,10,204,NA,1
4,10,192,NA,1
6,10,469.99,NA,3
5,10,240,NA,5
5,13,72,NA,5
6,21,0.03,155332,3
7,30,NA,NA,NA
6,21,84,NA,5
4,10,48,NA,5
4,10,72,NA,3
6,10,192,NA,1
6,16,NA,2155518,1
3,17,6,NA,1
3,17,1.89,NA,1
5,13,90,NA,1
7,5,NA,861000,6
6,10,36,NA,1
4,17,2.79,NA,3
3,10,8,NA,5
3,10,72,NA,3
5,10,151,NA,3
6,17,8,NA,1
5,10,120,NA,3
2,16,14,70324,3
6,24,63,NA,3
6,10,0.03,NA,1
7,5,NA,4600,5
4,30,8,NA,5
2,17,6,NA,5
6,16,NA,84509,5
5,10,108,NA,3
3,17,16,NA,1
6,17,4,NA,1
4,17,3.76,NA,5
5,26,108,9999999997,1
6,17,5.81,NA,1
4,17,1.99,NA,1
6,27,180,NA,1
6,10,192,NA,1
4,10,216,NA,3
3,10,30,NA,1
6,10,60,NA,1
2,27,156,NA,1
3,28,33,NA,3
5,16,3.29,40565000,5
6,30,8,NA,6
2,26,63,9999999997,3
6,13,51,NA,3
3,10,46,NA,1
4,13,65,NA,5
5,13,92,NA,3
2,17,12.03,NA,1
4,10,204,NA,3
6,10,78,NA,3
5,13,60,NA,3
4,16,12.03,134256,5
1,17,0.03,NA,3
7,16,36,53000,6
5,10,156,NA,3
4,10,121,NA,1
5,17,4,NA,5
5,16,48,53000,6
6,17,NA,NA,1
1,17,NA,NA,3
5,10,96,NA,5
4,26,180,9999999997,1
7,13,NA,NA,3
6,10,100,NA,5
4,17,1.85,NA,1
5,10,121,NA,3
6,13,15,NA,3
5,10,27,NA,1
4,17,12.03,NA,3
6,28,41,NA,3
3,10,51,NA,1
2,13,27,NA,1
5,17,0.03,NA,NA
4,10,130,NA,1
7,17,NA,NA,NA
4,10,160,NA,1
2,17,27,NA,3
4,17,10,NA,1
5,10,120,NA,3
3,10,125,NA,1
4,17,2.82,NA,NA
7,7,80,NA,3
4,17,2.16,NA,NA
5,17,12.03,NA,1
6,17,5,NA,1
3,10,188,NA,3
5,17,2.2,NA,NA
3,10,60,NA,1
2,27,144,NA,3
5,10,135,NA,5
5,13,144,NA,3
5,10,30,NA,3
5,17,8,NA,1
5,21,60,1363593,3
6,13,120,NA,3
3,17,6,NA,1
3,17,1.66,NA,6
3,13,50,NA,3
2,10,60,NA,3
5,17,15,NA,1
4,17,7.92,NA,1
5,10,404,NA,5
3,10,120,NA,1
6,16,16,583285,5
7,24,NA,NA,5
4,17,21,NA,1
6,10,240,NA,5
3,17,2.36,NA,NA
6,13,30,NA,5
3,17,5.33,NA,3
5,1,NA,NA,5
5,10,151,NA,3
7,17,2.99,NA,NA
2,17,13,NA,1
2,16,2.46,326,1
5,10,120,NA,3
4,10,72,NA,3
7,10,168,NA,3
7,17,21,NA,1
4,17,1.95,NA,1
6,13,42,NA,3
6,10,180,NA,5
3,17,10,NA,3
5,17,6,NA,1
7,22,470,NA,6
2,23,51,NA,1
7,10,0.03,NA,3
3,27,360,NA,3
5,17,1.46,NA,NA
4,17,18,NA,5
4,17,10,NA,1
6,22,470,NA,3
6,17,11,NA,1
5,17,15,NA,1
4,10,240,NA,1
6,10,24,NA,1
6,10,120,NA,3
5,17,4.76,NA,1
5,10,120,NA,5
5,17,5.3,NA,1
6,10,360,NA,5
2,17,4,NA,3
4,10,12,NA,5
5,17,37,NA,1
4,17,10,NA,NA
3,10,24,NA,5
7,16,24,207137,6
5,17,0.03,NA,1
2,17,1.95,NA,5
2,17,0.03,NA,1
3,25,15,NA,1
7,17,14,NA,3
3,17,NA,NA,1
6,17,12,NA,3
2,13,60,NA,1
6,10,67,NA,3
7,17,10,NA,1
6,10,60,NA,5
3,10,21,NA,6
4,13,0.03,NA,5
2,17,0.03,NA,3
6,10,120,NA,3
6,29,16,919878,6
7,27,405,NA,1
6,13,30,NA,3
7,10,144,NA,5
7,16,120,2090904,6
3,7,12.03,0,5
4,10,1.2,NA,5
4,16,58,9999999997,5
6,13,120,NA,3
4,10,382,NA,1
6,10,92,NA,3
6,17,21,NA,1
3,17,0.03,NA,NA
4,10,12.03,NA,1
7,16,72,15288014,5
6,10,60,NA,1
5,17,NA,NA,1
5,17,5.53,NA,1
3,22,470,NA,1
6,10,108,NA,5
7,22,470,NA,5
4,17,2.2,NA,1
7,4,21,NA,5
4,17,4,NA,NA
1,17,1.72,NA,1
7,13,110,NA,1
3,10,228,NA,3
7,10,120,NA,3
4,10,52,NA,5
5,12,48,5940000,1
1,13,60,NA,1
3,27,180,NA,5
4,10,90,NA,3
3,12,46,8640000,1
2,10,57,NA,1
2,10,24,NA,1
6,10,120,NA,3
5,10,72,NA,3
5,10,48,NA,5
2,10,36,NA,3
6,10,262,NA,3
2,13,204,NA,3
6,21,34,200000,1
5,17,8,NA,NA
6,17,24,NA,3
5,21,48,1496817,5
3,13,144,NA,5
5,10,21,NA,1
3,13,46,NA,3
3,10,120,NA,3
3,10,41,NA,5
7,21,66,1496817,6
5,17,36,NA,1
5,17,30,NA,1
6,10,37,NA,5
6,16,25,1350000,6
5,16,27,356753,3
6,10,198,NA,5
6,17,5.45,NA,1
6,16,20,143000,5
5,10,21,NA,5
2,10,37,NA,5
4,10,27,NA,1
3,13,60,NA,1
7,21,58,1496817,6
7,17,4.66,NA,3
3,1,NA,NA,5
6,10,24,NA,3
1,26,24,NA,3
4,17,8,NA,5
3,16,24,111541,3
5,17,16,NA,1
4,17,6,NA,3
7,16,6,30606,6
5,10,151,NA,3
7,10,12.03,NA,1
5,10,12.03,NA,5
4,10,104,NA,3
4,13,NA,NA,1
3,13,35,NA,1
5,17,3.94,NA,1
7,10,36,NA,3
7,16,NA,NA,NA
5,26,46,500,3
5,10,108,NA,3
6,10,85,NA,3
4,21,0.03,1029755,5
3,17,2.69,NA,1
6,17,4.43,NA,NA
7,17,4.13,NA,1
3,22,156,NA,1
5,17,6.7,NA,1
5,17,30,NA,1
5,13,77,NA,1
5,17,18,NA,1
7,16,14,9999999997,6
4,7,180,NA,5
5,27,87,NA,3
6,13,24,NA,1
5,28,0.03,NA,3
4,17,16,NA,1
7,7,82,NA,3
6,10,41,NA,3
3,10,108,NA,1
6,10,120,NA,3
4,10,16,NA,5
6,13,60,NA,3
3,13,21,NA,3
3,13,37,NA,1
5,16,30,334230,5
4,10,120,NA,3
6,10,168,NA,3
3,10,180,NA,1
3,10,180,NA,1
4,13,33,NA,3
5,10,32,NA,3
6,7,151,NA,3
4,13,NA,NA,3
6,13,41,NA,5
3,10,4,NA,5
3,10,120,NA,1
4,26,228,9999999997,1
1,10,60,NA,3
2,16,36,48297,1
6,17,2.66,NA,1
7,26,34,9999999997,3
7,16,27,17640325,5
6,17,5.99,NA,1
7,11,NA,9999999997,6
3,10,135,NA,1
5,17,24,NA,1
7,17,30,NA,3
4,27,252,NA,3
6,17,0.3,NA,3
4,16,24,NA,5
6,21,138,NA,1
5,16,0.03,8215,3
4,17,24,NA,1
3,17,24,NA,3
6,10,70,NA,1
2,13,21,NA,3
7,5,27,20107163,6
6,10,130,NA,3
3,10,35,NA,1
5,13,63,NA,3
6,10,0.03,NA,5
4,7,144,NA,3
6,16,24,9999999997,6
6,26,57,2300,3
6,29,6,334841,5
4,13,12.03,NA,5
6,17,3.66,NA,1
4,16,39,9510,1
3,23,24,NA,1
5,17,2.17,NA,1
5,17,10,NA,1
4,17,4.96,NA,1
6,17,3.19,NA,1
6,10,20,NA,3
6,29,6,334841,5
7,16,30,9999999997,3
6,16,NA,63497,1
2,10,36,NA,3
6,17,27,NA,1
6,10,100,NA,5
3,10,150,NA,3
3,10,78,NA,1
2,26,30,14194,3
6,22,292,NA,3
3,10,0.03,NA,6
3,16,24,205841,3
3,13,16,NA,1
3,13,42,NA,3
6,17,2.56,NA,1
6,7,48,NA,5
5,17,30,NA,1
6,13,37,NA,3
6,10,0.03,NA,5
6,17,12,NA,1
4,13,57,NA,3
4,10,80,NA,5
4,26,141,706,1
6,10,21,NA,3
4,17,13,NA,1
4,17,12.52,NA,3
6,17,8,NA,1
5,10,60,NA,3
7,10,NA,NA,3
7,27,360,NA,5
2,10,120,NA,1
3,13,NA,NA,5
5,10,140,NA,3
4,17,7.59,NA,1
7,5,0.03,9999999997,5
5,16,30,102852,3
7,17,21,NA,1
5,10,72,NA,1
5,27,60,NA,5
6,13,0.03,NA,3
5,17,24,NA,1
5,10,46,NA,1
2,16,18,506800,5
4,13,24,NA,3
4,4,66,NA,5
6,10,60,NA,3
7,17,30,NA,3
3,10,0.03,NA,5
4,10,51,NA,3
5,17,NA,NA,3
5,3,60,NA,5
5,26,68.56,9999999997,1
4,13,16,NA,3
5,17,4,NA,3
4,13,36,NA,5
5,16,28,1604485,5
4,4,36,NA,1
5,17,0.03,NA,1
4,16,33,339692,6
5,22,470,NA,1
2,10,11.83,NA,3
3,17,33,NA,1
5,17,24,NA,NA
3,10,48,NA,3
4,16,24,459706,3
5,16,15,6828,1
3,13,21,NA,3
6,17,3.33,NA,NA
6,10,42,NA,3
7,5,12.03,243061359,6
6,10,130,NA,5
6,17,2.46,NA,NA
7,21,0.03,9999999997,6
5,27,420,NA,5
6,16,24,828813,5
5,10,63,NA,3
7,17,3.69,NA,1
3,10,88,NA,5
3,13,33,NA,3
6,13,16,NA,1
3,30,12,NA,5
6,10,72,NA,3
4,10,20,NA,1
6,10,48.99,NA,3
6,10,188,NA,3
6,17,3.07,NA,NA
2,10,60,NA,3
7,13,24,NA,1
3,17,5.13,NA,1
4,22,200,NA,3
4,17,72,NA,1
4,13,16,NA,3
6,13,12.03,NA,3
6,17,21,NA,1
4,10,6.46,NA,3
5,21,180,NA,5
7,13,77,NA,3
4,17,2.95,NA,NA
6,10,41,NA,3
4,10,60,NA,5
3,1,6,NA,3
2,10,135,NA,1
6,17,3.69,NA,1
7,10,68,NA,3
7,17,18,NA,1
6,16,109,46920818,5
5,13,0.03,NA,6
1,16,10,0,1
6,10,12.03,NA,3
4,23,0.03,NA,NA
5,10,162,NA,3
7,13,45,NA,3
6,10,84,NA,1
5,17,0.03,NA,NA
6,10,72,NA,5
2,10,0.03,NA,3
4,10,360,NA,1
3,13,46,NA,1
6,10,31.1,NA,3
7,10,70,NA,6
4,13,12.03,NA,5
4,10,120,NA,3
2,7,48,NA,6
2,26,15,1000,1
6,10,60,NA,3
6,10,97,NA,5
4,13,41,NA,5
3,25,4,NA,3
5,10,72,NA,1
6,13,18,NA,6
4,10,195,NA,3
6,10,135,NA,1
5,17,0.03,NA,NA
7,10,37,NA,6
5,13,60,NA,3
6,17,0.03,NA,NA
3,10,66,NA,3
7,10,120,NA,3
5,13,15,NA,5
6,10,270,NA,5
2,17,12.03,NA,1
2,10,158,NA,3
4,13,115,NA,3
3,13,33,NA,1
4,17,2.4,NA,NA
5,17,0.03,NA,NA
6,7,84,NA,5
6,7,36,NA,5
7,16,42,834255,5
6,13,30,NA,3
6,10,47,NA,5
1,10,0.03,NA,1
5,17,2.66,NA,NA
4,10,36,NA,3
3,17,2.26,NA,NA
5,9,0.33,NA,NA
3,10,32,NA,5
6,13,92,NA,1
2,17,1.91,NA,NA
4,17,2.14,NA,NA
5,13,30,NA,1
5,17,21,NA,1
3,10,60,NA,3
6,17,4.49,NA,1
2,17,2.66,NA,NA
3,17,1.16,NA,NA
6,17,8,NA,1
2,16,25,47780,3
2,17,4,NA,1
3,27,120,NA,6
4,16,2.66,NA,NA
6,13,36,NA,5
6,17,2.03,NA,NA
3,16,87,9999999997,1
7,17,2.69,NA,NA
3,10,150,NA,3
3,17,2.33,NA,NA
3,13,18,NA,1
4,17,2.53,NA,1
7,10,60.03,NA,1
5,10,120,NA,5
5,10,57,NA,1
4,17,1.82,NA,NA
2,17,0.03,NA,NA
7,8,15,NA,1
6,10,0.03,NA,5
4,30,NA,NA,5
2,10,34,NA,1
6,17,21,NA,1
6,10,42,NA,1
6,22,235,NA,1
2,17,12.03,NA,5
7,10,65,NA,3
4,16,24,9999999997,3
6,25,13,NA,5
3,10,330,NA,1
6,10,170,NA,NA
4,10,72,NA,3
2,30,NA,NA,3
6,17,24,NA,1
5,10,156,NA,1
6,17,2.04,NA,1
6,17,21,NA,1
6,17,4.53,NA,1
4,13,48,NA,5
6,18,11.43,NA,5
3,17,21,NA,1
4,10,60,NA,1
2,13,NA,NA,3
3,10,48,NA,5
4,13,60,NA,5
6,21,12.03,1259095,3
5,16,6,71700,5
6,17,3.76,NA,NA
5,17,0.03,NA,1
3,13,60,NA,1
3,13,18,NA,3
7,16,51,647222,6
6,7,60,NA,6
5,10,94,NA,1
4,28,15,NA,6
4,17,NA,NA,3
3,21,18,1360375,1
5,10,84,NA,3
7,10,57,NA,3
6,10,103,NA,3
3,17,12.03,NA,1
6,17,6,NA,1
6,17,4.34,NA,1
6,10,30,NA,6
4,21,24,195960,3
6,10,144,NA,5
4,17,0.03,NA,5
7,17,21,NA,5
5,17,3.53,NA,1
4,10,30,NA,3
6,10,NA,NA,3
3,16,NA,6180,5
6,17,30,NA,1
5,10,0.03,NA,3
7,10,121,NA,5
4,10,192,NA,1
3,10,180,NA,3
3,10,120,NA,5
4,16,24,24348,3
7,10,72,NA,3
4,10,138,NA,3
6,17,37,NA,NA
6,10,240,NA,5
6,10,100,NA,1
6,10,120,NA,1
6,13,12.03,NA,3
2,28,13,NA,6
5,10,60,NA,3
6,10,60,NA,5
5,16,NA,1000,5
7,10,60,NA,3
4,10,120,NA,5
3,17,3.33,NA,1
4,16,NA,40,5
4,6,1.97,9999999997,5
5,17,4,NA,1
4,13,12.03,NA,5
5,10,72,NA,3
6,10,9.26,NA,1
4,27,210,NA,5
5,17,3.84,NA,1
6,10,60,NA,1
1,17,3.36,NA,1
4,13,30,NA,3
2,10,36,NA,3
2,10,240,NA,1
6,16,6,290855,3
4,10,210,NA,5
5,17,9.69,NA,1
6,13,65,NA,3
4,10,33,NA,1
5,16,6,290855,6
4,10,120,NA,1
3,13,36,NA,3
3,17,44,NA,1
7,17,12,NA,5
2,1,12,NA,1
4,10,120,NA,3
6,17,0.03,NA,1
7,16,27,654502,5
6,10,0.03,NA,3
7,5,40,1091867,6
5,17,2.07,NA,1
6,17,4.43,NA,1
2,16,36,2230814,5
3,26,120,3500,1
6,27,84,NA,5
7,10,151,NA,5
2,17,18,NA,1
3,17,6.2,NA,1
3,10,42,NA,5
2,27,18,NA,3
3,10,92,NA,3
2,13,3.94,NA,3
7,17,21,NA,1
6,17,4.3,NA,NA
4,13,60,NA,5
3,10,15,NA,1
5,10,100,NA,3
6,17,15,NA,5
6,10,120,NA,3
7,17,8,NA,1
6,1,NA,NA,6
7,16,24,1628237,3
2,17,0.03,NA,1
7,16,NA,9999999997,5
6,17,6,NA,5
4,17,0.03,NA,3
4,10,21,NA,5
6,17,4.04,NA,1
2,17,3.2,NA,1
3,17,2.07,NA,1
6,10,51,NA,1
6,17,5.76,NA,1
5,17,0.03,NA,1
6,17,1.43,NA,3
3,16,0.95,0,1
3,17,24,NA,3
6,17,13,NA,1
3,10,300,NA,3
6,16,NA,101632,5
1,27,15,NA,3
6,13,NA,NA,5
6,10,72,NA,3
6,10,240,NA,5
3,27,360,NA,5
3,24,10,NA,3
5,13,112,NA,1
5,18,151,NA,5
3,17,2.59,NA,1
7,13,180,NA,5
4,13,60,NA,5
5,17,12.03,NA,1
5,4,NA,NA,3
7,17,21,NA,1
6,17,5.23,NA,1
6,17,0.03,NA,1
3,7,84,NA,5
3,17,3.98,NA,1
5,17,2.3,NA,1
6,2,NA,1900000,3
4,13,24,NA,1
6,17,0.03,NA,3
3,17,0.03,NA,1
7,17,6.33,NA,1
6,10,120,NA,1
5,17,14,NA,1
5,24,24,NA,5
6,5,44,9999999997,6
6,10,135,NA,3
5,17,13,NA,1
5,17,3.36,NA,1
3,17,0.03,NA,1
5,17,18,NA,1
4,17,12.03,NA,1
5,17,4.59,NA,1
6,13,77,NA,3
7,10,NA,NA,5
6,17,6,NA,1
3,7,70,0,6
3,5,57,9999999997,3
4,17,8,NA,3
6,21,132,NA,3
4,17,18,NA,1
5,17,14,NA,3
6,17,18,NA,1
4,17,6.56,NA,1
6,21,12.03,2280330,6
4,17,8.26,NA,1
2,17,0.03,NA,1
2,17,NA,NA,1
3,17,3.15,NA,1
1,26,41,767,3
6,17,7,NA,1
4,17,3.12,NA,1
3,20,120,NA,1
2,13,NA,NA,1
4,17,5.13,NA,1
5,13,36,NA,1
5,13,0.03,NA,3
7,13,0.03,NA,5
3,17,7,NA,1
5,13,51,NA,5
2,10,NA,NA,1
3,17,4.59,NA,3
5,10,60,NA,3
5,10,84,NA,5
5,17,11,NA,1
4,13,8.94,NA,5
4,13,36,NA,3
2,13,144,NA,1
4,10,0.46,NA,3
7,16,108,9999999997,1
4,13,37,NA,5
2,13,51,NA,3
4,10,240,NA,3
2,13,33,NA,3
6,10,120,NA,1
6,17,37,NA,1
2,17,NA,NA,3
6,10,33,NA,3
7,16,67,5411603,5
5,17,0.03,NA,1
5,13,46,NA,1
4,10,0.59,NA,5
2,10,18,NA,3
3,17,5.13,NA,1
3,10,42,NA,3
5,17,5,NA,1
6,10,30,NA,5
6,10,120,NA,5
3,13,120,NA,3
4,10,84,NA,1
6,10,27,NA,1
5,17,6.49,NA,1
6,17,2.79,NA,3
4,17,10,NA,1
7,10,24,NA,5
5,17,33,NA,1
4,10,37,NA,3
6,17,24,NA,1
4,17,3.06,NA,1
5,17,6,NA,1
4,16,5.42,0,1
4,10,15,NA,5
6,10,57,NA,1
6,17,18,NA,1
5,7,108,NA,3
7,17,18,NA,1
7,16,NA,0,6
5,17,33,NA,1
6,1,24,NA,1
3,17,18,NA,1
7,17,37,NA,1
6,10,135.89,NA,6
6,10,469.99,NA,1
6,10,120,NA,5
6,17,2.46,NA,1
6,21,12.03,3500000,6
4,7,72,NA,5
4,21,120,NA,1
3,13,NA,NA,3
6,17,30,NA,1
3,13,27,NA,5
4,10,40,NA,5
4,17,5.56,NA,5
5,13,0.03,NA,3
4,17,5,NA,3
6,10,30,NA,5
5,10,42,NA,5
6,16,12.03,605114,5
3,17,8,NA,3
4,17,12.03,NA,5
5,10,66,NA,3
4,17,4.24,NA,1
5,16,96,1598766,5
6,10,63,NA,3
5,10,180,NA,5
4,10,63,NA,1
6,10,18,NA,3
5,17,3.03,NA,1
5,17,5,NA,1
7,17,10,NA,1
3,13,41,NA,1
3,13,33,NA,3
6,17,46,NA,1
6,10,60,NA,3
2,17,5,NA,3
7,7,120,NA,6
2,13,30,NA,5
3,26,115,646,3
2,17,5.99,NA,1
4,10,63,NA,5
6,10,92,NA,3
5,19,469.99,NA,3
4,19,469.99,NA,3
6,10,60,NA,3
5,10,108,NA,1
4,13,21,NA,3
7,10,51,NA,1
4,17,4,NA,1
2,16,33,9999999997,3
3,13,30,NA,1
3,17,2.53,NA,1
7,27,420,NA,1
4,4,135,NA,1
6,17,4.86,NA,NA
7,10,3.45,NA,3
6,21,30,NA,6
3,7,NA,NA,6
7,25,36,NA,3
4,17,41,NA,3
5,7,66,NA,5
2,10,0.03,NA,1
3,9,0.07,NA,5
7,16,80,9999999997,6
4,13,67,NA,1
7,17,21,NA,3
2,13,12.85,NA,3
6,10,24,NA,3
6,10,36,NA,5
4,21,84,NA,5
6,16,14,9999999997,6
6,17,48,NA,1
4,21,86,NA,5
5,17,6,NA,1
2,10,0.03,NA,5
3,10,36,NA,3
4,21,0.03,9999999997,3
6,24,33,NA,5
5,13,57,NA,3
5,10,60,NA,3
3,13,46,NA,1
7,16,NA,767249,6
3,24,8,NA,3
4,21,39.92,NA,1
5,10,60,NA,1
6,17,30,NA,1
3,28,NA,NA,6
6,16,36,1790700,3
4,10,84,NA,5
2,13,84,NA,3
7,15,40,20000000,5
4,10,27,NA,3
7,10,0.03,NA,3
2,10,30,NA,3
7,16,62,5041370,6
5,13,12,NA,5
4,30,NA,NA,NA
5,10,0.03,NA,3
2,10,0.03,NA,3
4,10,4.43,NA,5
5,17,5,NA,NA
4,28,12.03,NA,6
5,26,64,1065,5
5,13,120,NA,3
1,26,0.03,767,1
2,10,0.36,NA,3
2,13,NA,NA,3
5,10,98,NA,5
7,22,70,NA,1
7,26,228,9999999997,1
4,7,48,NA,5
6,17,5.69,NA,1
7,13,108,NA,5
2,9,0.13,NA,3
7,17,4.24,NA,1
4,20,118,NA,1
5,17,4.76,NA,5
2,13,34,NA,3
6,10,60,NA,1
3,17,8,NA,1
5,10,18,NA,5
6,27,360,NA,3
2,10,29,NA,1
4,17,7,NA,5
3,16,12.03,5206,6
6,10,92,NA,1
7,9,NA,NA,NA
4,10,120,NA,3
5,17,8,NA,3
4,10,200,NA,1
2,28,84,NA,1
3,13,27,NA,5
4,17,5.79,NA,1
6,10,120,NA,3
7,17,40,NA,1
6,17,1.87,NA,1
6,17,15,NA,1
5,16,24,NA,5
3,13,108,NA,5
5,17,24,NA,1
6,10,36,NA,3
2,13,6,NA,5
7,17,21,NA,1
7,10,17.53,NA,5
7,9,NA,NA,NA
6,17,4.24,NA,1
2,17,NA,NA,3
3,28,72,NA,5
6,17,2.59,NA,1
7,16,30,1088850,5
6,4,0.03,NA,3
5,10,240,NA,3
2,17,8,NA,1
5,10,140,NA,3
3,10,75,NA,1
7,13,27,NA,3
6,7,60,NA,6
5,10,60,NA,6
7,10,150,NA,3
2,13,46,NA,1
2,13,60,NA,1
6,13,37,NA,3
6,17,4.79,NA,1
6,17,2.56,NA,6
6,17,10,NA,1
6,10,150,NA,3
3,13,96,NA,1
5,13,36,NA,3
2,17,13,NA,1
3,17,4.17,NA,1
7,17,NA,NA,3
6,10,4,NA,5
6,10,70,NA,NA
6,10,65,NA,5
3,17,15,NA,1
6,10,180,NA,3
4,17,4,NA,NA
7,10,0.03,NA,3
5,16,40,9999999997,5
2,13,NA,NA,3
5,5,25,2954586,6
6,10,8,NA,3
7,29,NA,411324,5
6,17,6.18,NA,1
3,10,37.46,NA,1
5,30,6,NA,1
6,10,6,NA,1
5,3,78,NA,3
7,10,210,NA,5
5,10,120,NA,3
5,17,3.42,NA,1
2,13,100,NA,3
6,10,20,NA,3
5,17,NA,NA,5
3,16,21,252740,5
6,16,24,9999999997,6
6,10,108,NA,5
4,23,14,NA,3
3,10,17.16,NA,1
5,17,5.62,NA,1
6,25,6,NA,1
4,26,60,0,1
3,17,12,NA,1
6,17,4.46,NA,1
7,17,4.69,NA,1
5,10,180,NA,3
5,17,36,NA,1
2,10,NA,NA,1
5,17,5.2,NA,1
4,21,192,9999999997,3
6,12,65.07,862000,1
6,16,NA,38851,5
4,17,5.23,NA,1
6,10,180,NA,1
5,24,17.21,NA,3
5,17,4.72,NA,1
4,17,2.43,NA,NA
3,13,27,NA,3
5,17,12,NA,1
5,13,42,NA,3
5,26,24,747,3
3,10,0.03,NA,5
3,13,40,NA,1
6,17,18,NA,1
6,17,2.3,NA,NA
4,13,16,NA,1
3,10,37,NA,5
7,21,41,NA,6
7,10,41,NA,3
5,10,211,NA,3
2,27,120,NA,1
6,10,84,NA,3
4,13,NA,NA,5
6,10,24,NA,1
3,10,60,NA,1
6,17,30,NA,5
7,10,40,NA,3
4,17,2.3,NA,NA
4,10,15,NA,3
7,29,12.03,784800,1
7,17,2.92,NA,NA
4,13,40,NA,1
6,17,4,NA,5
4,5,0.03,9999999997,6
4,17,8,NA,1
4,16,NA,9999999997,5
4,17,3.78,NA,1
1,17,9,NA,1
6,13,57,NA,3
7,17,4.23,NA,1
4,17,10,NA,1
6,13,41,NA,3
5,13,120,NA,1
6,16,9,0,1
4,4,168,NA,3
6,10,60,NA,3
6,10,60,NA,1
4,13,36,NA,1
7,10,63,NA,1
5,17,NA,NA,3
5,23,NA,NA,NA
7,10,66,NA,3
6,29,NA,408122,5
4,17,5.89,NA,1
6,10,96,NA,3
7,16,80,9999999997,6
5,17,2.49,NA,3
5,1,12,NA,NA
6,17,0.03,NA,NA
2,17,13,NA,1
5,30,6,NA,5
7,10,60,NA,1
7,21,0.03,NA,6
7,17,3.02,NA,1
3,10,87,NA,1
2,10,24,NA,1
3,13,18,NA,1
2,10,198,NA,3
3,13,46,NA,3
6,10,180,NA,3
6,16,30,426540,6
5,16,40,622534,6
2,17,6.24,NA,1
6,17,2.03,NA,NA
3,10,120,NA,3
5,30,NA,NA,3
4,4,60,NA,3
4,17,18,NA,1
4,10,240,NA,3
6,17,5.33,NA,1
4,21,12.03,9999999997,5
6,17,10,NA,1
6,10,108,NA,3
6,10,212,NA,5
6,25,12.03,NA,5
6,17,46,NA,1
7,10,68,NA,3
6,13,41,NA,5
7,13,0.33,NA,5
7,16,6,439147,6
6,17,30,NA,1
5,7,NA,NA,6
3,16,0.03,71450,3
4,13,37,NA,3
5,17,30,NA,1
3,17,2.63,NA,1
3,4,41,NA,3
3,10,300,NA,1
4,3,NA,NA,3
6,17,0.03,NA,1
3,13,NA,NA,3
6,1,NA,NA,1
2,23,NA,NA,1
4,10,60,NA,5
5,13,66,NA,3
7,17,NA,NA,1
5,4,24,NA,5
6,10,228,NA,3
3,13,180,NA,3
2,26,90,160000,1
5,13,51,NA,3
5,17,11,NA,1
6,17,18,NA,1
7,17,2.79,NA,NA
4,26,46,105,5
3,13,18,NA,5
6,13,71,NA,3
7,10,48,NA,3
4,13,72,NA,1
2,17,6,NA,5
4,10,48,NA,3
4,27,120,NA,5
3,17,NA,NA,1
4,10,120,NA,1
5,13,70,NA,1
6,16,24,256198,6
7,16,48,632502,3
4,17,12.03,NA,5
6,10,124,NA,3
2,13,72,NA,3
5,16,18,109900,5
6,10,25,NA,3
3,10,30.26,NA,1
5,4,NA,NA,3
5,17,1.71,NA,NA
3,19,168,NA,1
7,17,NA,NA,1
3,17,15,NA,1
2,10,151,NA,3
2,17,NA,NA,3
6,17,9,NA,3
4,17,4,NA,1
4,10,18,NA,3
3,25,12,NA,1
2,17,10,NA,1
7,10,180,NA,3
5,17,6.23,NA,1
4,17,37,NA,1
4,10,60,NA,1
2,17,6,NA,3
6,16,NA,0,3
3,17,12.03,NA,1
2,17,7,NA,1
6,17,3.29,NA,1
2,17,8,NA,1
5,13,24,NA,5
7,16,24,265333,1
2,17,2.82,NA,NA
4,17,10,NA,1
5,17,3.25,NA,1
5,17,5.95,NA,1
4,17,0.03,NA,NA
4,17,4,NA,1
5,27,108,NA,1
6,13,65,NA,1
4,16,24,2771150,6
7,10,51,NA,6
4,16,9.92,20931,3
3,10,30,NA,5
3,13,28,NA,3
5,10,150,NA,3
5,17,8,NA,1
1,17,4.72,NA,1
3,16,NA,269216,5
4,10,84,NA,3
6,10,150,NA,5
4,10,34,NA,5
5,17,10,NA,1
4,17,5.2,NA,1
4,10,30,NA,3
4,13,12.03,NA,1
5,17,0.03,NA,3
3,17,0.03,NA,NA
4,17,27,NA,3
