YEARS,OFFGUIDE,SENTTCAP,LOSS1,NEWEDUC
4,13,9.39,NA,5
5,17,18,NA,1
3,17,22,NA,1
4,1,6,NA,3
5,10,120,NA,5
4,10,0.1,NA,3
7,7,72,NA,5
6,10,70,NA,3
6,16,15,22810,5
4,10,98,NA,3
5,29,12.03,22298,5
5,17,2.62,NA,1
6,16,0.03,164000,1
7,21,0.03,NA,1
7,27,121,NA,3
2,10,121,NA,5
7,26,NA,0,3
6,17,5,NA,1
6,7,70,NA,5
6,17,24,NA,3
4,13,57,NA,5
4,10,120,NA,1
6,17,21,NA,3
1,10,14,NA,1
5,10,45,NA,3
4,7,120,NA,3
5,10,80,NA,3
7,10,120,NA,3
5,16,30,9999999997,6
5,17,15,NA,1
5,10,96,NA,1
1,17,12.03,NA,3
4,10,108,NA,6
6,10,200,NA,5
6,16,0.03,9999999997,5
1,26,132,300,1
3,4,60,NA,3
6,27,240,NA,5
3,22,314.26,NA,3
4,10,120,NA,1
6,17,10,NA,1
7,17,0.03,NA,NA
3,17,15,NA,1
6,13,120,NA,3
4,21,NA,9999999997,3
5,17,12.03,NA,1
2,26,27,9999999997,5
7,16,132,244031132,3
4,13,63,NA,3
1,17,15,NA,1
7,1,NA,NA,6
4,17,4.72,NA,1
6,16,NA,157302,5
6,17,10,NA,5
5,17,8,NA,1
4,10,46,NA,5
1,17,5.3,NA,1
7,16,NA,31876,3
6,16,18,99181,6
7,17,40,NA,1
4,17,12.03,NA,3
3,27,72,NA,1
3,10,57,NA,3
3,10,12.03,NA,5
4,17,5.16,NA,1
3,17,30,NA,3
5,17,2.69,NA,1
5,17,6,NA,5
5,10,240,NA,3
4,17,15,NA,1
3,13,13.26,NA,1
4,17,8,NA,1
4,10,84,NA,1
2,30,0.49,NA,NA
5,10,46,NA,1
4,17,15,NA,1
4,17,12.03,NA,3
3,30,NA,NA,NA
7,5,0.03,9999999997,3
7,21,29,500000,1
3,30,NA,NA,NA
7,29,18,9999999997,6
3,13,46,NA,3
6,10,96,NA,5
7,10,92,NA,3
1,30,NA,NA,NA
4,21,47,500000,1
6,10,120,NA,3
4,10,180,NA,3
2,17,4.76,NA,1
2,30,2.96,NA,NA
3,17,6,NA,1
5,10,71,NA,3
6,17,5.16,NA,1
4,10,120,NA,1
6,21,21,500000,1
6,10,0.03,NA,6
2,17,6.18,NA,1
6,10,200,NA,1
5,17,0.03,NA,NA
6,17,21,NA,1
4,1,14,NA,3
6,23,30,NA,5
3,23,30,NA,1
2,10,12.89,NA,3
4,10,144,NA,3
3,13,18,NA,3
7,17,12.03,NA,1
7,7,240,NA,5
4,27,240,NA,5
4,10,132,NA,1
7,10,262,NA,3
3,13,27,NA,1
6,10,10.36,NA,1
2,13,72,NA,3
6,17,8,NA,1
5,16,4.93,0,1
6,10,80,NA,5
4,17,18,NA,1
6,7,108,NA,6
6,17,13.03,NA,1
7,10,90,NA,1
4,10,87,NA,1
4,17,18,NA,1
3,17,10,NA,1
2,13,6.03,NA,1
6,10,0.03,NA,1
5,17,3.23,NA,NA
6,21,100,NA,1
3,16,24,1037917,5
5,28,120,NA,3
2,4,96,NA,3
2,13,48,NA,1
5,30,NA,NA,NA
2,13,14.3,NA,1
7,10,78,NA,3
4,13,57,NA,3
5,17,0.03,NA,NA
2,10,NA,NA,3
3,13,60,NA,1
4,27,13,NA,3
6,10,77,NA,3
4,25,30,NA,3
5,27,140,NA,1
3,13,40,NA,1
4,13,46,NA,5
5,10,92,NA,3
6,17,9.85,NA,1
3,10,0.23,NA,5
3,17,NA,NA,5
6,4,200,NA,3
6,17,4.85,NA,1
2,27,156,NA,5
5,17,6,NA,1
6,17,24,NA,1
3,10,87,NA,3
6,13,48,NA,3
4,26,10,230,3
6,10,126,NA,5
7,13,24,NA,5
6,16,48,745000,5
6,13,77,NA,1
6,16,24,NA,3
2,10,0.23,NA,1
4,3,60,NA,3
4,17,10,NA,3
4,10,46,NA,1
3,4,24,NA,3
2,26,84,9999999997,3
4,17,NA,NA,1
5,21,102,NA,3
7,13,20,NA,1
5,10,24,NA,1
4,10,0.03,NA,1
6,20,70,NA,1
4,10,51,NA,3
6,10,100,NA,1
1,10,72,NA,3
5,13,70,NA,3
3,16,4,0,1
6,10,210,NA,1
4,10,168,NA,3
6,17,8,NA,1
6,17,12.03,NA,1
3,26,168,6215,1
5,10,12.03,NA,5
7,16,42,4200585,1
6,10,30,NA,5
4,13,60,NA,3
6,13,36,NA,3
3,13,96,NA,1
3,13,63,NA,3
3,17,8,NA,1
5,10,65,NA,1
6,17,2.59,NA,1
2,30,NA,NA,NA
7,10,72,NA,1
5,17,4.95,NA,1
2,13,27,NA,1
1,30,NA,NA,NA
6,13,15,NA,3
1,10,36,NA,3
5,10,120,NA,5
2,10,72,NA,1
5,13,63,NA,3
2,17,9.33,NA,3
5,17,15,NA,1
4,17,NA,NA,1
3,17,0.03,NA,NA
3,7,20,NA,5
2,17,7.46,NA,1
4,10,228,NA,1
6,17,16,NA,1
5,17,2.92,NA,5
3,9,NA,NA,NA
6,29,12.03,183303,5
5,13,60,NA,3
5,16,NA,94475,6
4,15,5.33,9999999997,5
4,10,60,NA,1
4,1,27,NA,3
3,10,23,NA,3
6,9,NA,NA,NA
5,13,78,NA,5
5,10,120,NA,1
5,10,76,NA,3
4,10,18,NA,1
3,10,43,NA,1
5,10,86,NA,6
6,10,7.49,NA,5
5,10,36,NA,3
2,13,25,NA,3
3,17,22,NA,3
3,4,41,NA,1
3,17,0.03,NA,NA
4,10,158,NA,3
6,10,60,NA,1
7,17,24,NA,3
6,10,84,NA,3
7,17,2.92,NA,1
3,17,12.03,NA,1
6,10,360,NA,3
4,13,72,NA,3
6,10,195,NA,5
5,13,51,NA,5
6,10,10.38,NA,5
4,16,9,583887,1
3,17,30,NA,1
6,17,32,NA,6
7,10,210,NA,1
4,10,64,NA,3
3,10,172,NA,3
5,17,15,NA,3
7,13,24,NA,1
7,10,72,NA,3
6,10,60,NA,6
4,13,180,NA,3
4,17,4,NA,5
3,10,41,NA,1
4,17,NA,NA,3
3,10,84,NA,3
4,10,52,NA,3
4,17,10,NA,1
3,13,NA,NA,3
7,17,5,NA,NA
5,13,105,NA,3
5,16,37,22516,3
7,30,NA,NA,NA
7,30,NA,NA,5
6,7,96,NA,3
4,10,87,NA,1
5,13,92,NA,1
7,17,25,NA,NA
3,13,41,NA,3
7,17,12.03,NA,3
6,10,51,NA,3
3,27,60,NA,3
6,17,41,NA,3
2,13,42,NA,3
4,10,136,NA,3
3,13,78,NA,1
5,17,0.03,NA,NA
7,26,194,200,5
2,17,13.03,NA,3
2,13,40,NA,1
1,17,16,NA,1
3,13,60,NA,1
5,10,151,NA,3
5,16,0.03,10903,5
5,13,60,NA,3
4,13,60,NA,1
5,24,18,NA,3
6,17,12,NA,5
2,13,0.1,NA,1
6,10,84,NA,3
4,17,27,NA,1
4,17,12.03,NA,1
6,17,24,NA,1
7,16,55,2239187,3
1,17,6,NA,5
2,10,21,NA,1
4,10,63,NA,1
4,17,16,NA,3
4,10,70,NA,1
2,10,53,NA,1
4,13,106,NA,1
4,10,0.03,NA,1
5,17,12.03,NA,1
3,10,90,NA,3
6,10,4,NA,1
2,10,96,NA,1
6,10,24,NA,3
7,10,120,NA,3
6,10,235,NA,3
3,1,7.85,NA,1
5,10,210,NA,5
5,16,18,1573265,5
5,17,2.14,NA,1
6,10,48,NA,5
5,16,24,NA,5
2,13,20,NA,1
6,10,60,NA,1
7,16,33,665600,3
7,17,3.22,NA,1
3,16,9.62,12506,3
7,17,NA,NA,3
7,16,14,284160,3
4,17,6,NA,1
6,13,114,NA,1
5,10,54,NA,6
6,13,27,NA,3
3,19,48,NA,5
4,22,168,NA,1
6,16,30,7520779,6
5,27,180,NA,6
5,13,57,NA,5
5,13,46,NA,5
5,17,12,NA,1
7,16,NA,75502,5
6,17,4.13,NA,1
4,17,3.91,NA,1
6,17,0.03,NA,NA
2,13,NA,NA,1
6,10,300,NA,5
2,27,60,NA,3
4,13,36,NA,3
5,10,84,NA,1
4,10,211,NA,3
3,4,37,NA,3
3,17,4.13,NA,1
3,17,6.23,NA,5
1,26,100,1965,1
6,7,132,NA,6
4,27,120,NA,5
6,18,18,NA,5
2,13,4.03,NA,3
5,5,9,1573265,5
3,17,8,NA,3
7,21,41,53290,3
7,10,96,NA,3
1,17,3.72,NA,1
3,13,46,NA,3
6,10,12.03,NA,3
4,13,0.03,NA,5
6,10,83,NA,3
5,10,120,NA,1
5,10,87,NA,1
3,10,NA,NA,1
4,7,NA,NA,6
4,13,24,NA,3
7,10,120,NA,3
7,10,40,NA,5
5,10,114,NA,5
6,10,21,NA,1
4,7,60,NA,5
5,27,120,NA,5
2,10,13.23,NA,3
5,10,24,NA,1
3,26,159,4900,1
5,10,78,NA,1
6,16,15,9999999997,3
3,13,37,NA,1
5,10,46,NA,3
4,13,22,NA,5
4,10,144,NA,3
6,28,18,NA,6
4,17,NA,NA,3
4,9,NA,NA,NA
5,10,60,NA,1
6,17,6,NA,1
6,17,24,NA,6
6,10,120,NA,1
5,10,120,NA,3
2,17,37,NA,1
6,10,36,NA,1
6,17,4,NA,3
2,17,3,NA,1
7,10,57,NA,1
2,17,0.03,NA,NA
5,17,24,NA,1
4,17,33,NA,1
2,17,28,NA,3
4,9,0.03,NA,5
5,10,75,NA,3
4,10,156,NA,3
4,10,92,NA,1
