DISTRICT,YEARS,OFFGUIDE,SENTTCAP,LOSS1
47,4,13,9.39,NA
70,5,17,18,NA
70,3,17,22,NA
70,4,1,6,NA
84,5,10,120,NA
51,4,10,0.1,NA
41,7,7,72,NA
76,6,10,70,NA
82,6,16,15,22810
30,4,10,98,NA
31,5,29,12.03,22298
70,5,17,2.62,NA
3,6,16,0.03,164000
56,7,21,0.03,NA
48,7,27,121,NA
51,2,10,121,NA
78,7,26,NA,0
70,6,17,5,NA
79,6,7,70,NA
41,6,17,24,NA
75,4,13,57,NA
43,4,10,120,NA
41,6,17,21,NA
70,1,10,14,NA
56,5,10,45,NA
66,4,7,120,NA
34,5,10,80,NA
81,7,10,120,NA
31,5,16,30,9999999997
42,5,17,15,NA
34,5,10,96,NA
70,1,17,12.03,NA
71,4,10,108,NA
56,6,10,200,NA
61,6,16,0.03,9999999997
45,1,26,132,300
82,3,4,60,NA
43,6,27,240,NA
32,3,22,314.26,NA
31,4,10,120,NA
42,6,17,10,NA
22,7,17,0.03,NA
41,3,17,15,NA
64,6,13,120,NA
70,4,21,NA,9999999997
31,5,17,12.03,NA
56,2,26,27,9999999997
80,7,16,132,244031132
45,4,13,63,NA
41,1,17,15,NA
22,7,1,NA,NA
70,4,17,4.72,NA
41,6,16,NA,157302
31,6,17,10,NA
41,5,17,8,NA
80,4,10,46,NA
41,1,17,5.3,NA
45,7,16,NA,31876
22,6,16,18,99181
41,7,17,40,NA
41,4,17,12.03,NA
70,3,27,72,NA
30,3,10,57,NA
22,3,10,12.03,NA
84,4,17,5.16,NA
41,3,17,30,NA
70,5,17,2.69,NA
84,5,17,6,NA
41,5,10,240,NA
41,4,17,15,NA
9,3,13,13.26,NA
41,4,17,8,NA
41,4,10,84,NA
34,2,30,0.49,NA
61,5,10,46,NA
42,4,17,15,NA
41,4,17,12.03,NA
34,3,30,NA,NA
8,7,5,0.03,9999999997
41,7,21,29,500000
34,3,30,NA,NA
45,7,29,18,9999999997
42,3,13,46,NA
34,6,10,96,NA
79,7,10,92,NA
34,1,30,NA,NA
41,4,21,47,500000
23,6,10,120,NA
45,4,10,180,NA
41,2,17,4.76,NA
34,2,30,2.96,NA
41,3,17,6,NA
72,5,10,71,NA
70,6,17,5.16,NA
32,4,10,120,NA
41,6,21,21,500000
72,6,10,0.03,NA
70,2,17,6.18,NA
56,6,10,200,NA
70,5,17,0.03,NA
41,6,17,21,NA
84,4,1,14,NA
70,6,23,30,NA
41,3,23,30,NA
16,2,10,12.89,NA
66,4,10,144,NA
90,3,13,18,NA
41,7,17,12.03,NA
72,7,7,240,NA
19,4,27,240,NA
65,4,10,132,NA
35,7,10,262,NA
41,3,13,27,NA
80,6,10,10.36,NA
48,2,13,72,NA
70,6,17,8,NA
41,5,16,4.93,0
77,6,10,80,NA
70,4,17,18,NA
31,6,7,108,NA
70,6,17,13.03,NA
77,7,10,90,NA
65,4,10,87,NA
42,4,17,18,NA
70,3,17,10,NA
30,2,13,6.03,NA
12,6,10,0.03,NA
42,5,17,3.23,NA
41,6,21,100,NA
12,3,16,24,1037917
54,5,28,120,NA
87,2,4,96,NA
20,2,13,48,NA
6,5,30,NA,NA
84,2,13,14.3,NA
87,7,10,78,NA
15,4,13,57,NA
42,5,17,0.03,NA
23,2,10,NA,NA
20,3,13,60,NA
84,4,27,13,NA
76,6,10,77,NA
65,4,25,30,NA
86,5,27,140,NA
64,3,13,40,NA
65,4,13,46,NA
86,5,10,92,NA
33,6,17,9.85,NA
84,3,10,0.23,NA
52,3,17,NA,NA
37,6,4,200,NA
41,6,17,4.85,NA
62,2,27,156,NA
70,5,17,6,NA
41,6,17,24,NA
30,3,10,87,NA
52,6,13,48,NA
70,4,26,10,230
62,6,10,126,NA
84,7,13,24,NA
51,6,16,48,745000
84,6,13,77,NA
75,6,16,24,NA
84,2,10,0.23,NA
