DISTRICT,YEARS,OFFGUIDE,SENTTCAP,LOSS1
40,4,10,270,NA
42,6,13,24,NA
41,3,17,7,NA
42,4,10,72,NA
80,7,10,57,NA
65,5,13,24,NA
41,5,17,2.92,NA
40,3,13,60,NA
84,6,17,6.21,NA
84,1,13,24,NA
84,4,10,41,NA
41,4,17,0.03,NA
65,6,10,70,NA
45,3,7,72,NA
66,4,16,48,9999999997
70,5,17,12.03,NA
84,3,17,5.22,NA
84,3,17,8,NA
87,2,13,37,NA
70,3,10,36,NA
84,7,17,37,NA
6,5,10,120,NA
72,4,10,45.16,NA
47,4,13,50,NA
85,3,13,48,NA
70,3,7,120,NA
6,4,10,70,NA
54,3,10,38,NA
53,5,10,264,NA
45,3,10,120,NA
45,2,16,0.03,9999999997
65,7,10,24,NA
42,3,17,10,NA
54,5,27,60,NA
65,3,10,204,NA
30,4,10,192,NA
13,6,10,469.99,NA
39,5,10,240,NA
17,5,13,72,NA
31,6,21,0.03,155332
70,7,30,NA,NA
35,6,21,84,NA
87,4,10,48,NA
25,4,10,72,NA
30,6,10,192,NA
64,6,16,NA,2155518
87,3,17,6,NA
42,3,17,1.89,NA
51,5,13,90,NA
85,7,5,NA,861000
22,6,10,36,NA
42,4,17,2.79,NA
87,3,10,8,NA
58,3,10,72,NA
25,5,10,151,NA
42,6,17,8,NA
62,5,10,120,NA
40,2,16,14,70324
24,6,24,63,NA
3,6,10,0.03,NA
40,7,5,NA,4600
42,4,30,8,NA
42,2,17,6,NA
25,6,16,NA,84509
16,5,10,108,NA
58,3,17,16,NA
42,6,17,4,NA
76,4,17,3.76,NA
65,5,26,108,9999999997
70,6,17,5.81,NA
42,4,17,1.99,NA
49,6,27,180,NA
30,6,10,192,NA
51,4,10,216,NA
22,3,10,30,NA
83,6,10,60,NA
16,2,27,156,NA
67,3,28,33,NA
81,5,16,3.29,40565000
42,6,30,8,NA
83,2,26,63,9999999997
48,6,13,51,NA
45,3,10,46,NA
47,4,13,65,NA
47,5,13,92,NA
42,2,17,12.03,NA
80,4,10,204,NA
47,6,10,78,NA
45,5,13,60,NA
48,4,16,12.03,134256
70,1,17,0.03,NA
61,7,16,36,53000
40,5,10,156,NA
62,4,10,121,NA
42,5,17,4,NA
61,5,16,48,53000
42,6,17,NA,NA
70,1,17,NA,NA
1,5,10,96,NA
44,4,26,180,9999999997
35,7,13,NA,NA
49,6,10,100,NA
42,4,17,1.85,NA
75,5,10,121,NA
83,6,13,15,NA
17,5,10,27,NA
41,4,17,12.03,NA
22,6,28,41,NA
44,3,10,51,NA
30,2,13,27,NA
14,5,17,0.03,NA
84,4,10,130,NA
31,7,17,NA,NA
39,4,10,160,NA
70,2,17,27,NA
44,4,17,10,NA
20,5,10,120,NA
22,3,10,125,NA
42,4,17,2.82,NA
44,7,7,80,NA
42,4,17,2.16,NA
42,5,17,12.03,NA
84,6,17,5,NA
54,3,10,188,NA
42,5,17,2.2,NA
22,3,10,60,NA
54,2,27,144,NA
72,5,10,135,NA
17,5,13,144,NA
14,5,10,30,NA
42,5,17,8,NA
48,5,21,60,1363593
49,6,13,120,NA
42,3,17,6,NA
42,3,17,1.66,NA
50,3,13,50,NA
41,2,10,60,NA
41,5,17,15,NA
84,4,17,7.92,NA
38,5,10,404,NA
42,3,10,120,NA
13,6,16,16,583285
35,7,24,NA,NA
41,4,17,21,NA
41,6,10,240,NA
41,3,17,2.36,NA
55,6,13,30,NA
42,3,17,5.33,NA
35,5,1,NA,NA
49,5,10,151,NA
42,7,17,2.99,NA
42,2,17,13,NA
42,2,16,2.46,326
42,5,10,120,NA
16,4,10,72,NA
42,7,10,168,NA
42,7,17,21,NA
42,4,17,1.95,NA
35,6,13,42,NA
35,6,10,180,NA
70,3,17,10,NA
41,5,17,6,NA
35,7,22,470,NA
41,2,23,51,NA
16,7,10,0.03,NA
87,3,27,360,NA
42,5,17,1.46,NA
70,4,17,18,NA
70,4,17,10,NA
35,6,22,470,NA
42,6,17,11,NA
42,5,17,15,NA
42,4,10,240,NA
41,6,10,24,NA
41,6,10,120,NA
70,5,17,4.76,NA
35,5,10,120,NA
42,5,17,5.3,NA
8,6,10,360,NA
42,2,17,4,NA
6,4,10,12,NA
42,5,17,37,NA
42,4,17,10,NA
6,3,10,24,NA
42,7,16,24,207137
42,5,17,0.03,NA
42,2,17,1.95,NA
42,2,17,0.03,NA
69,3,25,15,NA
70,7,17,14,NA
42,3,17,NA,NA
70,6,17,12,NA
51,2,13,60,NA
40,6,10,67,NA
70,7,17,10,NA
53,6,10,60,NA
47,3,10,21,NA
90,4,13,0.03,NA
42,2,17,0.03,NA
85,6,10,120,NA
27,6,29,16,919878
14,7,27,405,NA
51,6,13,30,NA
62,7,10,144,NA
41,7,16,120,2090904
0,3,7,12.03,0
1,4,10,1.2,NA
22,4,16,58,9999999997
61,6,13,120,NA
31,4,10,382,NA
50,6,10,92,NA
40,6,17,21,NA
74,3,17,0.03,NA
2,4,10,12.03,NA
73,7,16,72,15288014
2,6,10,60,NA
42,5,17,NA,NA
42,5,17,5.53,NA
35,3,22,470,NA
41,6,10,108,NA
35,7,22,470,NA
42,4,17,2.2,NA
70,7,4,21,NA
43,4,17,4,NA
42,1,17,1.72,NA
30,7,13,110,NA
49,3,10,228,NA
31,7,10,120,NA
1,4,10,52,NA
65,5,12,48,5940000
60,1,13,60,NA
9,3,27,180,NA
9,4,10,90,NA
65,3,12,46,8640000
41,2,10,57,NA
74,2,10,24,NA
60,6,10,120,NA
57,5,10,72,NA
65,5,10,48,NA
15,2,10,36,NA
41,6,10,262,NA
64,2,13,204,NA
32,6,21,34,200000
74,5,17,8,NA
70,6,17,24,NA
32,5,21,48,1496817
46,3,13,144,NA
74,5,10,21,NA
1,3,13,46,NA
23,3,10,120,NA
74,3,10,41,NA
32,7,21,66,1496817
12,5,17,36,NA
70,5,17,30,NA
74,6,10,37,NA
43,6,16,25,1350000
12,5,16,27,356753
64,6,10,198,NA
41,6,17,5.45,NA
60,6,16,20,143000
56,5,10,21,NA
74,2,10,37,NA
48,4,10,27,NA
60,3,13,60,NA
32,7,21,58,1496817
31,7,17,4.66,NA
51,3,1,NA,NA
8,6,10,24,NA
65,1,26,24,NA
31,4,17,8,NA
65,3,16,24,111541
32,5,17,16,NA
41,4,17,6,NA
23,7,16,6,30606
36,5,10,151,NA
49,7,10,12.03,NA
9,5,10,12.03,NA
17,4,10,104,NA
89,4,13,NA,NA
64,3,13,35,NA
84,5,17,3.94,NA
74,7,10,36,NA
74,7,16,NA,NA
52,5,26,46,500
39,5,10,108,NA
7,6,10,85,NA
8,4,21,0.03,1029755
41,3,17,2.69,NA
74,6,17,4.43,NA
70,7,17,4.13,NA
6,3,22,156,NA
84,5,17,6.7,NA
84,5,17,30,NA
64,5,13,77,NA
30,5,17,18,NA
8,7,16,14,9999999997
41,4,7,180,NA
70,5,27,87,NA
42,6,13,24,NA
81,5,28,0.03,NA
84,4,17,16,NA
61,7,7,82,NA
24,6,10,41,NA
9,3,10,108,NA
42,6,10,120,NA
73,4,10,16,NA
60,6,13,60,NA
57,3,13,21,NA
9,3,13,37,NA
78,5,16,30,334230
9,4,10,120,NA
9,6,10,168,NA
42,3,10,180,NA
31,3,10,180,NA
39,4,13,33,NA
74,5,10,32,NA
28,6,7,151,NA
57,4,13,NA,NA
79,6,13,41,NA
39,3,10,4,NA
15,3,10,120,NA
65,4,26,228,9999999997
15,1,10,60,NA
32,2,16,36,48297
25,6,17,2.66,NA
57,7,26,34,9999999997
73,7,16,27,17640325
70,6,17,5.99,NA
74,7,11,NA,9999999997
39,3,10,135,NA
70,5,17,24,NA
74,7,17,30,NA
8,4,27,252,NA
70,6,17,0.3,NA
82,4,16,24,NA
15,6,21,138,NA
15,5,16,0.03,8215
74,4,17,24,NA
84,3,17,24,NA
88,6,10,70,NA
15,2,13,21,NA
41,7,5,27,20107163
31,6,10,130,NA
72,3,10,35,NA
73,5,13,63,NA
15,6,10,0.03,NA
66,4,7,144,NA
7,6,16,24,9999999997
84,6,26,57,2300
11,6,29,6,334841
17,4,13,12.03,NA
70,6,17,3.66,NA
73,4,16,39,9510
70,3,23,24,NA
70,5,17,2.17,NA
41,5,17,10,NA
70,4,17,4.96,NA
84,6,17,3.19,NA
52,6,10,20,NA
11,6,29,6,334841
45,7,16,30,9999999997
41,6,16,NA,63497
74,2,10,36,NA
70,6,17,27,NA
57,6,10,100,NA
72,3,10,150,NA
30,3,10,78,NA
73,2,26,30,14194
45,6,22,292,NA
8,3,10,0.03,NA
28,3,16,24,205841
35,3,13,16,NA
56,3,13,42,NA
70,6,17,2.56,NA
12,6,7,48,NA
41,5,17,30,NA
40,6,13,37,NA
15,6,10,0.03,NA
84,6,17,12,NA
15,4,13,57,NA
51,4,10,80,NA
17,4,26,141,706
52,6,10,21,NA
84,4,17,13,NA
84,4,17,12.52,NA
84,6,17,8,NA
15,5,10,60,NA
12,7,10,NA,NA
56,7,27,360,NA
79,2,10,120,NA
70,3,13,NA,NA
29,5,10,140,NA
84,4,17,7.59,NA
41,7,5,0.03,9999999997
31,5,16,30,102852
84,7,17,21,NA
79,5,10,72,NA
88,5,27,60,NA
68,6,13,0.03,NA
84,5,17,24,NA
42,5,10,46,NA
52,2,16,18,506800
79,4,13,24,NA
70,4,4,66,NA
46,6,10,60,NA
41,7,17,30,NA
68,3,10,0.03,NA
8,4,10,51,NA
13,5,17,NA,NA
57,5,3,60,NA
7,5,26,68.56,9999999997
31,4,13,16,NA
84,5,17,4,NA
30,4,13,36,NA
31,5,16,28,1604485
70,4,4,36,NA
70,5,17,0.03,NA
8,4,16,33,339692
80,5,22,470,NA
84,2,10,11.83,NA
70,3,17,33,NA
17,5,17,24,NA
82,3,10,48,NA
73,4,16,24,459706
73,5,16,15,6828
77,3,13,21,NA
41,6,17,3.33,NA
8,6,10,42,NA
41,7,5,12.03,243061359
5,6,10,130,NA
42,6,17,2.46,NA
8,7,21,0.03,9999999997
64,5,27,420,NA
65,6,16,24,828813
47,5,10,63,NA
41,7,17,3.69,NA
77,3,10,88,NA
7,3,13,33,NA
77,6,13,16,NA
77,3,30,12,NA
77,6,10,72,NA
77,4,10,20,NA
42,6,10,48.99,NA
15,6,10,188,NA
42,6,17,3.07,NA
15,2,10,60,NA
77,7,13,24,NA
42,3,17,5.13,NA
42,4,22,200,NA
39,4,17,72,NA
77,4,13,16,NA
15,6,13,12.03,NA
67,6,17,21,NA
15,4,10,6.46,NA
20,5,21,180,NA
49,7,13,77,NA
68,4,17,2.95,NA
5,6,10,41,NA
15,4,10,60,NA
70,3,1,6,NA
68,2,10,135,NA
70,6,17,3.69,NA
2,7,10,68,NA
70,7,17,18,NA
5,6,16,109,46920818
73,5,13,0.03,NA
42,1,16,10,0
45,6,10,12.03,NA
22,4,23,0.03,NA
73,5,10,162,NA
73,7,13,45,NA
52,6,10,84,NA
42,5,17,0.03,NA
52,6,10,72,NA
68,2,10,0.03,NA
40,4,10,360,NA
65,3,13,46,NA
73,6,10,31.1,NA
41,7,10,70,NA
41,4,13,12.03,NA
73,4,10,120,NA
70,2,7,48,NA
57,2,26,15,1000
42,6,10,60,NA
7,6,10,97,NA
38,4,13,41,NA
69,3,25,4,NA
64,5,10,72,NA
88,6,13,18,NA
46,4,10,195,NA
30,6,10,135,NA
4,5,17,0.03,NA
40,7,10,37,NA
77,5,13,60,NA
74,6,17,0.03,NA
16,3,10,66,NA
68,7,10,120,NA
77,5,13,15,NA
62,6,10,270,NA
70,2,17,12.03,NA
62,2,10,158,NA
45,4,13,115,NA
42,3,13,33,NA
41,4,17,2.4,NA
42,5,17,0.03,NA
67,6,7,84,NA
22,6,7,36,NA
22,7,16,42,834255
28,6,13,30,NA
42,6,10,47,NA
74,1,10,0.03,NA
41,5,17,2.66,NA
68,4,10,36,NA
41,3,17,2.26,NA
87,5,9,0.33,NA
74,3,10,32,NA
72,6,13,92,NA
41,2,17,1.91,NA
41,4,17,2.14,NA
87,5,13,30,NA
70,5,17,21,NA
87,3,10,60,NA
70,6,17,4.49,NA
41,2,17,2.66,NA
41,3,17,1.16,NA
70,6,17,8,NA
28,2,16,25,47780
41,2,17,4,NA
81,3,27,120,NA
41,4,16,2.66,NA
28,6,13,36,NA
41,6,17,2.03,NA
28,3,16,87,9999999997
41,7,17,2.69,NA
28,3,10,150,NA
41,3,17,2.33,NA
15,3,13,18,NA
42,4,17,2.53,NA
81,7,10,60.03,NA
31,5,10,120,NA
72,5,10,57,NA
41,4,17,1.82,NA
74,2,17,0.03,NA
57,7,8,15,NA
57,6,10,0.03,NA
74,4,30,NA,NA
74,2,10,34,NA
74,6,17,21,NA
74,6,10,42,NA
52,6,22,235,NA
74,2,17,12.03,NA
52,7,10,65,NA
65,4,16,24,9999999997
31,6,25,13,NA
31,3,10,330,NA
62,6,10,170,NA
73,4,10,72,NA
42,2,30,NA,NA
41,6,17,24,NA
61,5,10,156,NA
84,6,17,2.04,NA
74,6,17,21,NA
84,6,17,4.53,NA
57,4,13,48,NA
84,6,18,11.43,NA
84,3,17,21,NA
41,4,10,60,NA
42,2,13,NA,NA
41,3,10,48,NA
32,4,13,60,NA
32,6,21,12.03,1259095
90,5,16,6,71700
32,6,17,3.76,NA
87,5,17,0.03,NA
32,3,13,60,NA
17,3,13,18,NA
32,7,16,51,647222
5,6,7,60,NA
6,5,10,94,NA
90,4,28,15,NA
70,4,17,NA,NA
32,3,21,18,1360375
4,5,10,84,NA
42,7,10,57,NA
72,6,10,103,NA
41,3,17,12.03,NA
4,6,17,6,NA
41,6,17,4.34,NA
4,6,10,30,NA
41,4,21,24,195960
20,6,10,144,NA
42,4,17,0.03,NA
41,7,17,21,NA
31,5,17,3.53,NA
13,4,10,30,NA
5,6,10,NA,NA
30,3,16,NA,6180
41,6,17,30,NA
15,5,10,0.03,NA
19,7,10,121,NA
20,4,10,192,NA
19,3,10,180,NA
49,3,10,120,NA
22,4,16,24,24348
20,7,10,72,NA
42,4,10,138,NA
74,6,17,37,NA
20,6,10,240,NA
32,6,10,100,NA
45,6,10,120,NA
96,6,13,12.03,NA
4,2,28,13,NA
7,5,10,60,NA
4,6,10,60,NA
45,5,16,NA,1000
19,7,10,60,NA
41,4,10,120,NA
41,3,17,3.33,NA
39,4,16,NA,40
90,4,6,1.97,9999999997
42,5,17,4,NA
19,4,13,12.03,NA
2,5,10,72,NA
74,6,10,9.26,NA
27,4,27,210,NA
70,5,17,3.84,NA
38,6,10,60,NA
42,1,17,3.36,NA
40,4,13,30,NA
74,2,10,36,NA
39,2,10,240,NA
46,6,16,6,290855
42,4,10,210,NA
39,5,17,9.69,NA
65,6,13,65,NA
69,4,10,33,NA
46,5,16,6,290855
30,4,10,120,NA
16,3,13,36,NA
70,3,17,44,NA
31,7,17,12,NA
24,2,1,12,NA
69,4,10,120,NA
70,6,17,0.03,NA
30,7,16,27,654502
73,6,10,0.03,NA
30,7,5,40,1091867
76,5,17,2.07,NA
70,6,17,4.43,NA
73,2,16,36,2230814
41,3,26,120,3500
73,6,27,84,NA
69,7,10,151,NA
41,2,17,18,NA
42,3,17,6.2,NA
16,3,10,42,NA
69,2,27,18,NA
73,3,10,92,NA
73,2,13,3.94,NA
42,7,17,21,NA
42,6,17,4.3,NA
62,4,13,60,NA
23,3,10,15,NA
14,5,10,100,NA
41,6,17,15,NA
3,6,10,120,NA
41,7,17,8,NA
73,6,1,NA,NA
73,7,16,24,1628237
42,2,17,0.03,NA
31,7,16,NA,9999999997
70,6,17,6,NA
42,4,17,0.03,NA
41,4,10,21,NA
70,6,17,4.04,NA
42,2,17,3.2,NA
70,3,17,2.07,NA
70,6,10,51,NA
42,6,17,5.76,NA
42,5,17,0.03,NA
70,6,17,1.43,NA
74,3,16,0.95,0
42,3,17,24,NA
42,6,17,13,NA
41,3,10,300,NA
44,6,16,NA,101632
89,1,27,15,NA
65,6,13,NA,NA
65,6,10,72,NA
66,6,10,240,NA
76,3,27,360,NA
49,3,24,10,NA
65,5,13,112,NA
72,5,18,151,NA
42,3,17,2.59,NA
66,7,13,180,NA
65,4,13,60,NA
42,5,17,12.03,NA
73,5,4,NA,NA
42,7,17,21,NA
42,6,17,5.23,NA
42,6,17,0.03,NA
65,3,7,84,NA
70,3,17,3.98,NA
70,5,17,2.3,NA
73,6,2,NA,1900000
8,4,13,24,NA
42,6,17,0.03,NA
42,3,17,0.03,NA
42,7,17,6.33,NA
69,6,10,120,NA
42,5,17,14,NA
89,5,24,24,NA
30,6,5,44,9999999997
49,6,10,135,NA
42,5,17,13,NA
70,5,17,3.36,NA
70,3,17,0.03,NA
40,5,17,18,NA
42,4,17,12.03,NA
70,5,17,4.59,NA
43,6,13,77,NA
15,7,10,NA,NA
42,6,17,6,NA
53,3,7,70,0
24,3,5,57,9999999997
29,4,17,8,NA
66,6,21,132,NA
70,4,17,18,NA
70,5,17,14,NA
70,6,17,18,NA
42,4,17,6.56,NA
88,6,21,12.03,2280330
42,4,17,8.26,NA
42,2,17,0.03,NA
70,2,17,NA,NA
70,3,17,3.15,NA
73,1,26,41,767
42,6,17,7,NA
70,4,17,3.12,NA
70,3,20,120,NA
24,2,13,NA,NA
42,4,17,5.13,NA
39,5,13,36,NA
24,5,13,0.03,NA
13,7,13,0.03,NA
42,3,17,7,NA
41,5,13,51,NA
24,2,10,NA,NA
42,3,17,4.59,NA
39,5,10,60,NA
29,5,10,84,NA
70,5,17,11,NA
74,4,13,8.94,NA
48,4,13,36,NA
23,2,13,144,NA
53,4,10,0.46,NA
8,7,16,108,9999999997
74,4,13,37,NA
41,2,13,51,NA
66,4,10,240,NA
70,2,13,33,NA
13,6,10,120,NA
74,6,17,37,NA
42,2,17,NA,NA
74,6,10,33,NA
73,7,16,67,5411603
70,5,17,0.03,NA
56,5,13,46,NA
74,4,10,0.59,NA
42,2,10,18,NA
42,3,17,5.13,NA
74,3,10,42,NA
70,5,17,5,NA
79,6,10,30,NA
64,6,10,120,NA
12,3,13,120,NA
16,4,10,84,NA
79,6,10,27,NA
42,5,17,6.49,NA
70,6,17,2.79,NA
70,4,17,10,NA
74,7,10,24,NA
41,5,17,33,NA
79,4,10,37,NA
70,6,17,24,NA
41,4,17,3.06,NA
70,5,17,6,NA
41,4,16,5.42,0
24,4,10,15,NA
1,6,10,57,NA
41,6,17,18,NA
53,5,7,108,NA
41,7,17,18,NA
73,7,16,NA,0
41,5,17,33,NA
41,6,1,24,NA
73,3,17,18,NA
70,7,17,37,NA
40,6,10,135.89,NA
40,6,10,469.99,NA
56,6,10,120,NA
41,6,17,2.46,NA
31,6,21,12.03,3500000
62,4,7,72,NA
40,4,21,120,NA
24,3,13,NA,NA
41,6,17,30,NA
39,3,13,27,NA
74,4,10,40,NA
74,4,17,5.56,NA
39,5,13,0.03,NA
70,4,17,5,NA
74,6,10,30,NA
74,5,10,42,NA
72,6,16,12.03,605114
41,3,17,8,NA
74,4,17,12.03,NA
5,5,10,66,NA
74,4,17,4.24,NA
8,5,16,96,1598766
74,6,10,63,NA
44,5,10,180,NA
1,4,10,63,NA
74,6,10,18,NA
41,5,17,3.03,NA
84,5,17,5,NA
74,7,17,10,NA
72,3,13,41,NA
77,3,13,33,NA
74,6,17,46,NA
77,6,10,60,NA
70,2,17,5,NA
30,7,7,120,NA
47,2,13,30,NA
49,3,26,115,646
12,2,17,5.99,NA
14,4,10,63,NA
30,6,10,92,NA
13,5,19,469.99,NA
13,4,19,469.99,NA
78,6,10,60,NA
30,5,10,108,NA
30,4,13,21,NA
30,7,10,51,NA
84,4,17,4,NA
77,2,16,33,9999999997
55,3,13,30,NA
84,3,17,2.53,NA
51,7,27,420,NA
84,4,4,135,NA
84,6,17,4.86,NA
77,7,10,3.45,NA
7,6,21,30,NA
66,3,7,NA,NA
30,7,25,36,NA
74,4,17,41,NA
30,5,7,66,NA
2,2,10,0.03,NA
9,3,9,0.07,NA
22,7,16,80,9999999997
73,4,13,67,NA
70,7,17,21,NA
41,2,13,12.85,NA
8,6,10,24,NA
74,6,10,36,NA
74,4,21,84,NA
74,6,16,14,9999999997
31,6,17,48,NA
1,4,21,86,NA
31,5,17,6,NA
7,2,10,0.03,NA
8,3,10,36,NA
31,4,21,0.03,9999999997
37,6,24,33,NA
44,5,13,57,NA
73,5,10,60,NA
17,3,13,46,NA
7,7,16,NA,767249
44,3,24,8,NA
66,4,21,39.92,NA
43,5,10,60,NA
74,6,17,30,NA
1,3,28,NA,NA
31,6,16,36,1790700
8,4,10,84,NA
7,2,13,84,NA
3,7,15,40,20000000
60,4,10,27,NA
7,7,10,0.03,NA
74,2,10,30,NA
45,7,16,62,5041370
38,5,13,12,NA
22,4,30,NA,NA
7,5,10,0.03,NA
68,2,10,0.03,NA
74,4,10,4.43,NA
31,5,17,5,NA
1,4,28,12.03,NA
43,5,26,64,1065
68,5,13,120,NA
73,1,26,0.03,767
68,2,10,0.36,NA
73,2,13,NA,NA
43,5,10,98,NA
43,7,22,70,NA
7,7,26,228,9999999997
48,4,7,48,NA
70,6,17,5.69,NA
84,7,13,108,NA
68,2,9,0.13,NA
41,7,17,4.24,NA
68,4,20,118,NA
84,5,17,4.76,NA
47,2,13,34,NA
8,6,10,60,NA
70,3,17,8,NA
9,5,10,18,NA
72,6,27,360,NA
64,2,10,29,NA
84,4,17,7,NA
76,3,16,12.03,5206
76,6,10,92,NA
22,7,9,NA,NA
51,4,10,120,NA
41,5,17,8,NA
30,4,10,200,NA
76,2,28,84,NA
7,3,13,27,NA
84,4,17,5.79,NA
47,6,10,120,NA
41,7,17,40,NA
84,6,17,1.87,NA
84,6,17,15,NA
76,5,16,24,NA
84,3,13,108,NA
84,5,17,24,NA
82,6,10,36,NA
73,2,13,6,NA
41,7,17,21,NA
42,7,10,17.53,NA
22,7,9,NA,NA
41,6,17,4.24,NA
70,2,17,NA,NA
15,3,28,72,NA
42,6,17,2.59,NA
46,7,16,30,1088850
45,6,4,0.03,NA
66,5,10,240,NA
42,2,17,8,NA
30,5,10,140,NA
84,3,10,75,NA
76,7,13,27,NA
56,6,7,60,NA
9,5,10,60,NA
22,7,10,150,NA
63,2,13,46,NA
63,2,13,60,NA
47,6,13,37,NA
42,6,17,4.79,NA
74,6,17,2.56,NA
87,6,17,10,NA
56,6,10,150,NA
63,3,13,96,NA
89,5,13,36,NA
41,2,17,13,NA
41,3,17,4.17,NA
70,7,17,NA,NA
41,6,10,4,NA
88,6,10,70,NA
43,6,10,65,NA
70,3,17,15,NA
63,6,10,180,NA
6,4,17,4,NA
88,7,10,0.03,NA
31,5,16,40,9999999997
12,2,13,NA,NA
37,5,5,25,2954586
41,6,10,8,NA
64,7,29,NA,411324
70,6,17,6.18,NA
13,3,10,37.46,NA
42,5,30,6,NA
41,6,10,6,NA
64,5,3,78,NA
47,7,10,210,NA
76,5,10,120,NA
41,5,17,3.42,NA
34,2,13,100,NA
8,6,10,20,NA
6,5,17,NA,NA
55,3,16,21,252740
31,6,16,24,9999999997
34,6,10,108,NA
70,4,23,14,NA
43,3,10,17.16,NA
70,5,17,5.62,NA
41,6,25,6,NA
8,4,26,60,0
42,3,17,12,NA
42,6,17,4.46,NA
42,7,17,4.69,NA
13,5,10,180,NA
42,5,17,36,NA
24,2,10,NA,NA
84,5,17,5.2,NA
58,4,21,192,9999999997
42,6,12,65.07,862000
35,6,16,NA,38851
42,4,17,5.23,NA
53,6,10,180,NA
70,5,24,17.21,NA
42,5,17,4.72,NA
42,4,17,2.43,NA
24,3,13,27,NA
42,5,17,12,NA
45,5,13,42,NA
52,5,26,24,747
42,3,10,0.03,NA
65,3,13,40,NA
42,6,17,18,NA
42,6,17,2.3,NA
16,4,13,16,NA
80,3,10,37,NA
73,7,21,41,NA
47,7,10,41,NA
43,5,10,211,NA
14,2,27,120,NA
52,6,10,84,NA
88,4,13,NA,NA
71,6,10,24,NA
31,3,10,60,NA
42,6,17,30,NA
53,7,10,40,NA
42,4,17,2.3,NA
73,4,10,15,NA
1,7,29,12.03,784800
42,7,17,2.92,NA
71,4,13,40,NA
84,6,17,4,NA
31,4,5,0.03,9999999997
84,4,17,8,NA
40,4,16,NA,9999999997
84,4,17,3.78,NA
42,1,17,9,NA
22,6,13,57,NA
42,7,17,4.23,NA
84,4,17,10,NA
42,6,13,41,NA
48,5,13,120,NA
42,6,16,9,0
52,4,4,168,NA
70,6,10,60,NA
42,6,10,60,NA
5,4,13,36,NA
12,7,10,63,NA
70,5,17,NA,NA
26,5,23,NA,NA
82,7,10,66,NA
5,6,29,NA,408122
42,4,17,5.89,NA
1,6,10,96,NA
34,7,16,80,9999999997
70,5,17,2.49,NA
43,5,1,12,NA
31,6,17,0.03,NA
42,2,17,13,NA
42,5,30,6,NA
38,7,10,60,NA
71,7,21,0.03,NA
70,7,17,3.02,NA
16,3,10,87,NA
41,2,10,24,NA
8,3,13,18,NA
38,2,10,198,NA
38,3,13,46,NA
53,6,10,180,NA
31,6,16,30,426540
31,5,16,40,622534
70,2,17,6.24,NA
42,6,17,2.03,NA
53,3,10,120,NA
61,5,30,NA,NA
16,4,4,60,NA
41,4,17,18,NA
0,4,10,240,NA
42,6,17,5.33,NA
48,4,21,12.03,9999999997
70,6,17,10,NA
34,6,10,108,NA
53,6,10,212,NA
22,6,25,12.03,NA
41,6,17,46,NA
43,7,10,68,NA
88,6,13,41,NA
77,7,13,0.33,NA
71,7,16,6,439147
84,6,17,30,NA
8,5,7,NA,NA
48,3,16,0.03,71450
41,4,13,37,NA
84,5,17,30,NA
84,3,17,2.63,NA
8,3,4,41,NA
54,3,10,300,NA
66,4,3,NA,NA
70,6,17,0.03,NA
48,3,13,NA,NA
48,6,1,NA,NA
70,2,23,NA,NA
54,4,10,60,NA
43,5,13,66,NA
41,7,17,NA,NA
89,5,4,24,NA
63,6,10,228,NA
13,3,13,180,NA
39,2,26,90,160000
82,5,13,51,NA
41,5,17,11,NA
84,6,17,18,NA
41,7,17,2.79,NA
87,4,26,46,105
62,3,13,18,NA
30,6,13,71,NA
77,7,10,48,NA
63,4,13,72,NA
41,2,17,6,NA
1,4,10,48,NA
54,4,27,120,NA
42,3,17,NA,NA
24,4,10,120,NA
62,5,13,70,NA
43,6,16,24,256198
8,7,16,48,632502
41,4,17,12.03,NA
52,6,10,124,NA
56,2,13,72,NA
55,5,16,18,109900
15,6,10,25,NA
8,3,10,30.26,NA
77,5,4,NA,NA
41,5,17,1.71,NA
64,3,19,168,NA
41,7,17,NA,NA
70,3,17,15,NA
76,2,10,151,NA
42,2,17,NA,NA
41,6,17,9,NA
6,4,17,4,NA
74,4,10,18,NA
34,3,25,12,NA
41,2,17,10,NA
83,7,10,180,NA
84,5,17,6.23,NA
84,4,17,37,NA
58,4,10,60,NA
70,2,17,6,NA
35,6,16,NA,0
41,3,17,12.03,NA
84,2,17,7,NA
84,6,17,3.29,NA
41,2,17,8,NA
52,5,13,24,NA
65,7,16,24,265333
41,2,17,2.82,NA
70,4,17,10,NA
84,5,17,3.25,NA
42,5,17,5.95,NA
67,4,17,0.03,NA
84,4,17,4,NA
64,5,27,108,NA
12,6,13,65,NA
56,4,16,24,2771150
14,7,10,51,NA
74,4,16,9.92,20931
74,3,10,30,NA
78,3,13,28,NA
41,5,10,150,NA
74,5,17,8,NA
74,1,17,4.72,NA
32,3,16,NA,269216
41,4,10,84,NA
41,6,10,150,NA
74,4,10,34,NA
74,5,17,10,NA
38,4,17,5.2,NA
74,4,10,30,NA
78,4,13,12.03,NA
78,5,17,0.03,NA
74,3,17,0.03,NA
74,4,17,27,NA
18,2,26,84,3781
74,2,17,8,NA
45,6,21,12.03,NA
88,6,27,60,NA
34,7,13,120,NA
50,5,13,2,NA
9,4,10,60,NA
41,6,10,84,NA
15,5,16,18,13953
78,5,13,60,NA
71,7,27,120,NA
